primaryTitle,tconst
Chandidas,tt0024964
Jhoola,tt0033772
Anmol Ghadi,tt0038302
Shahjehan,tt0038931
Aag,tt0040067
Barsaat,tt0041161
Mahal,tt0041619
Shabnam,tt0041861
Afsar,tt0042184
Arzoo,tt0042207
Bawre Nain,tt0042233
Mashaal,tt0042719
Buzdil,tt0043367
Sazaa,tt0043997
Anhonee,tt0044360
Baiju Bawra,tt0044392
Daag,tt0044527
Aah,tt0045467
Aurat,tt0045524
Baghi,tt0045535
Daaera,tt0045666
Amar,tt0046703
Boot Polish,tt0046799
Taxi Driver,tt0047561
Amanat,tt0047816
Devdas,tt0047990
House No. 44,tt0048181
Kundan,tt0048271
Munimji,tt0048395
Nagin,tt0048410
Railway Platform,tt0048537
Shree 420,tt0048613
Yasmin,tt0048816
Chori Chori,tt0049072
Funtoosh,tt0049243
Naya Andaz,tt0049545
New Delhi,tt0049549
Rajdhani,tt0049654
Taj,tt0049822
Mother India,tt0050188
Madhumati,tt0050665
Naya Daur,tt0050758
Pardesi,tt0050820
Paying Guest,tt0050829
Tumsa Nahin Dekha,tt0051117
Howrah Bridge,tt0051747
Phagun,tt0052065
Sone Ki Chidiya,tt0052220
Yahudi,tt0052411
Dhool Ka Phool,tt0052736
Aas Ka Panchhi,tt0053566
Barsaat Ki Raat,tt0053637
Duniya Jhukti Hai,tt0053787
Hum Hindustani,tt0053928
Kohinoor,tt0053999
Manzil,tt1623678
Mughal-E-Azam,tt0054098
Aashiq,tt0054591
Junglee,tt0055035
Kabuliwala,tt0055039
Nazrana,tt0055220
Parakh,tt0055276
Roop Ki Rani Choron Ka Raja,tt0055385
Sanjog,tt0055406
Baat Ek Raat Ki,tt0055767
Dr. Vidya,tt0055930
Ek Musafir Ek Hasina,tt0055949
Prem Patra,tt0056367
Professor,tt0056379
Aaj Aur Kal,tt0056805
Aarti,tt0056806
Bandini,tt0056850
Dil Hi To Hai,tt0056998
Mujhe Jeene Do,tt0057332
Taj Mahal,tt0057555
Kaise Kahoon,tt0058254
Kashmir Ki Kali,tt0058257
Leader,tt0058287
Punar Milan,tt0058501
Sangam,tt0400795
Ziddi,tt0058772
Zindagi,tt0058774
Chand Aur Suraj,tt0059023
Guide,tt0059246
Mere Sanam,tt0059445
Poonam Ki Raat,tt0059610
Waqt,tt0059893
Devar,tt0060306
Dil Diya Dard Liya,tt0060310
Mamta,tt0060659
Mera Saaya,tt0060689
Suraj,tt0061046
Teesri Kasam,tt0061072
Teesri Manzil,tt0061073
Around The World,tt0061366
Baharon Ke Sapne,tt0061378
Farz,tt0061650
Hamraaz,tt0061744
Jewel Thief,tt0061842
Milan,tt0061974
Aadmi,tt0062640
Duniya,tt0062918
Padosan,tt0063404
Do Raaste,tt0064241
Jyoti,tt0064528
Aradhana,tt0065416
Darpan,tt0065612
Ishq Par Zor Nahin,tt0065903
Kati Patang,tt0065936
Mera Naam Joker,tt0066070
Prem Pujari,tt0066241
Caravan,tt0066888
Do Boond Pani,tt0067000
Mere Apne,tt0067421
