primaryName,nconst
Shabana Azmi,nm0000818
Amitabh Bachchan,nm0000821
Kabir Bedi,nm13752417
Madhuri Dixit,nm0002043
Nusrat Fateh Ali Khan,nm0002163
Amit Khanna,nm9168142
Alka Yagnik,nm16003377
Jayant,nm9605252
Nargis,nm8507734
Raj Kapoor,nm3908248
Rekha,nm9969854
Roshan,nm9583677
Rakesh Roshan,nm16587420
Kajol,nm8095418
Dharmendra,nm8755941
Kunal Kapoor,nm8638768
Prithviraj Kapoor,nm13752424
Shammi Kapoor,nm12694380
Shashi Kapoor,nm6402398
Rajesh Khanna,nm7497634
Rajesh Roshan,nm9463748
Sridevi,nm9671747
Akkineni Nageswara Rao,nm9853079
Juhi Chawla,nm0004487
Hema Malini,nm0004564
Sanjay Dutt,nm0004569
Sunil Dutt,nm8396129
Rajkumar,nm9935840
Naushad,nm9425459
Shobhna Samarth,nm0006358
Ashok Kumar,nm9783523
Manoj Kumar,nm9965634
Karisma Kapoor,nm6034509
Mukesh,nm9789576
Saeed Jaffrey,nm0006762
Jackie Shroff,nm0006763
Sonali Kulkarni,nm0006764
Salman Khan,nm9536351
Twinkle Khanna,nm15593999
Tabu,nm8631940
Shakti Kapoor,nm0007106
Urmila Matondkar,nm0007107
Nana Patekar,nm0007113
Sonali Bendre,nm0007114
Dev Anand,nm8926421
Rabindranath Tagore,nm0007173
Abhijeet,nm9229392
Abhijit,nm7715469
Anu Agarwal,nm0013004
Agha,nm15918566
Jalal Agha,nm0013026
Salma Agha,nm0013028
Apurva Agnihotri,nm0013157
Rati Agnihotri,nm0013159
Javed Akhtar,nm9976942
Sardar Akhtar,nm0015293
Anwar Ali,nm9664611
Nafisa Ali,nm0019465
Sajjad Ali,nm9144540
Waqar Ali,nm16040535
Zeenat Aman,nm0023868
Amar,nm9610760
Amarnath,nm9257919
Ameeta,nm3550751
Kishori Amonkar,nm0025163
Sadashiv Amrapurkar,nm0025389
Kamal Amrohi,nm0025399
Santosh Anand,nm10976996
Chetan Anand,nm4015786
Shoma Anand,nm0025625
Vijay Anand,nm9829769
Anil,nm9902069
Anjaan,nm15923387
Anuradha Paudwal,nm0031668
Anwar,nm9797358
Anwari,nm0031699
Aparna Sen,nm0031967
Biddu,nm0032300
Ram Apte,nm0032547
Shanta Apte,nm0032550
Shamim Ara,nm0032669
Archana,nm9774031
Vijay Arora,nm9626415
Arun,nm9952267
Ila Arun,nm0038023
Aruna,nm9313265
Arvind,nm9449687
Asha,nm9866301
Rashid Attre,nm0041101
Sapna Awasthi,nm0043409
Munshi Aziz,nm0044298
Kaifi Azmi,nm15605968
Tanvi Azmi,nm0044343
Azra,nm5631602
Raj Babbar,nm0044796
Parveen Babi,nm0044916
Babul,nm8905249
Aruna Irani,nm0045119
Kumari Naaz,nm0045132
Abhishek Bachchan,nm0045393
Harivansh Rai Bachchan,nm0045394
Badri Prasad,nm12779612
Mohnish Behl,nm0046894
Anand Bakshi,nm0049244
Balakram,nm0049394
Geeta Bali,nm0050188
Maya Banerjee,nm4532846
Robin Banerjee,nm8015802
Sabita Banerjee,nm9424109
Saira Banu,nm9585396
Timir Baran,nm8999065
Kamal Barot,nm0056426
Gulshan Bawra,nm0062620
Pooja Bedi,nm0066070
Rakesh Bedi,nm0066075
Iqbal,nm8513002
Zeenat Begum,nm3776821
Hansraj Behl,nm0066917
Bela Sulakhe,nm0067487
Laxmikant Berde,nm0073426
Biswanath Bhaduri,nm0080147
Jaya Bachchan,nm0080149
Rita Bhaduri,nm13726900
Samit Bhanja,nm9222816
Bharati Devi,nm1405210
Tushar Bhatia,nm10079600
Vanraj Bhatia,nm15621817
Deepti Bhatnagar,nm11162433
Manish,nm9579913
